"date","SPY","XLB","XLE","XLF","XLI","XLK","XLP","XLU","XLV","XLY"
1994-02-08,NA,NA,47.2188,NA,NA,NA,NA,NA,NA,NA
1994-02-09,NA,NA,47.4063,NA,NA,NA,NA,NA,NA,NA
1994-02-10,NA,NA,47,NA,NA,NA,NA,NA,NA,NA
1994-02-11,NA,NA,47.1563,NA,NA,NA,NA,NA,NA,NA
1994-02-14,NA,NA,47.2188,NA,NA,NA,NA,NA,NA,NA
1994-02-15,NA,NA,47.4688,NA,NA,NA,NA,NA,NA,NA
1994-02-16,NA,NA,47.4375,NA,NA,NA,NA,NA,NA,NA
1994-02-17,NA,NA,47.1563,NA,NA,NA,NA,NA,NA,NA
1994-02-18,NA,NA,46.875,NA,NA,NA,NA,NA,NA,NA
1994-02-22,NA,NA,47.3438,NA,NA,NA,NA,NA,NA,NA
1994-02-23,NA,NA,47.2188,NA,NA,NA,NA,NA,NA,NA
1994-02-24,NA,NA,46.5938,NA,NA,NA,NA,NA,NA,NA
1994-02-25,NA,NA,46.8125,NA,NA,NA,NA,NA,NA,NA
1994-02-28,NA,NA,46.8125,NA,NA,NA,NA,NA,NA,NA
1994-03-01,NA,NA,46.625,NA,NA,NA,NA,NA,NA,NA
1994-03-02,NA,NA,46.6875,NA,NA,NA,NA,NA,NA,NA
1994-03-03,NA,NA,46.5625,NA,NA,NA,NA,NA,NA,NA
1994-03-04,NA,NA,46.6875,NA,NA,NA,NA,NA,NA,NA
1994-03-07,NA,NA,46.9375,NA,NA,NA,NA,NA,NA,NA
1994-03-08,NA,NA,46.75,NA,NA,NA,NA,NA,NA,NA
1994-03-09,NA,NA,46.9688,NA,NA,NA,NA,NA,NA,NA
1994-03-10,NA,NA,46.5938,NA,NA,NA,NA,NA,NA,NA
1994-03-11,NA,NA,46.8438,NA,NA,NA,NA,NA,NA,NA
1994-03-14,NA,NA,46.9063,NA,NA,NA,NA,NA,NA,NA
1994-03-15,NA,NA,46.875,NA,NA,NA,NA,NA,NA,NA
1994-03-16,NA,NA,47.25,NA,NA,NA,NA,NA,NA,NA
1994-03-17,NA,NA,47.25,NA,NA,NA,NA,NA,NA,NA
1994-03-18,NA,NA,46.9688,NA,NA,NA,NA,NA,NA,NA
1994-03-21,NA,NA,46.8438,NA,NA,NA,NA,NA,NA,NA
1994-03-22,NA,NA,46.9688,NA,NA,NA,NA,NA,NA,NA
1994-03-23,NA,NA,46.9375,NA,NA,NA,NA,NA,NA,NA
1994-03-24,NA,NA,46.375,NA,NA,NA,NA,NA,NA,NA
1994-03-25,NA,NA,45.9375,NA,NA,NA,NA,NA,NA,NA
1994-03-28,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
1994-03-29,NA,NA,45.0938,NA,NA,NA,NA,NA,NA,NA
1994-03-30,NA,NA,44.4688,NA,NA,NA,NA,NA,NA,NA
1994-03-31,NA,NA,44.5938,NA,NA,NA,NA,NA,NA,NA
1994-04-04,NA,NA,43.9063,NA,NA,NA,NA,NA,NA,NA
1994-04-05,NA,NA,44.8125,NA,NA,NA,NA,NA,NA,NA
1994-04-06,NA,NA,44.8125,NA,NA,NA,NA,NA,NA,NA
1994-04-07,NA,NA,45.0313,NA,NA,NA,NA,NA,NA,NA
1994-04-08,NA,NA,44.6875,NA,NA,NA,NA,NA,NA,NA
1994-04-11,NA,NA,45.0313,NA,NA,NA,NA,NA,NA,NA
1994-04-12,NA,NA,44.8125,NA,NA,NA,NA,NA,NA,NA
1994-04-13,NA,NA,44.5781,NA,NA,NA,NA,NA,NA,NA
1994-04-14,NA,NA,44.5938,NA,NA,NA,NA,NA,NA,NA
1994-04-15,NA,NA,44.5938,NA,NA,NA,NA,NA,NA,NA
1994-04-18,NA,NA,44.2969,NA,NA,NA,NA,NA,NA,NA
1994-04-19,NA,NA,44.3594,NA,NA,NA,NA,NA,NA,NA
1994-04-20,NA,NA,44.3125,NA,NA,NA,NA,NA,NA,NA
1994-04-21,NA,NA,44.9063,NA,NA,NA,NA,NA,NA,NA
1994-04-22,NA,NA,44.8594,NA,NA,NA,NA,NA,NA,NA
1994-04-25,NA,NA,45.3281,NA,NA,NA,NA,NA,NA,NA
1994-04-26,NA,NA,45.2813,NA,NA,NA,NA,NA,NA,NA
1994-04-28,NA,NA,44.9531,NA,NA,NA,NA,NA,NA,NA
1994-04-29,NA,NA,45.0938,NA,NA,NA,NA,NA,NA,NA
1994-05-02,NA,NA,45.375,NA,NA,NA,NA,NA,NA,NA
1994-05-03,NA,NA,45.3281,NA,NA,NA,NA,NA,NA,NA
1994-05-04,NA,NA,45.25,NA,NA,NA,NA,NA,NA,NA
1994-05-05,NA,NA,45.1875,NA,NA,NA,NA,NA,NA,NA
1994-05-06,NA,NA,44.75,NA,NA,NA,NA,NA,NA,NA
1994-05-09,NA,NA,44.3594,NA,NA,NA,NA,NA,NA,NA
1994-05-10,NA,NA,44.7031,NA,NA,NA,NA,NA,NA,NA
1994-05-11,NA,NA,44.2969,NA,NA,NA,NA,NA,NA,NA
1994-05-12,NA,NA,44.5156,NA,NA,NA,NA,NA,NA,NA
1994-05-13,NA,NA,44.5156,NA,NA,NA,NA,NA,NA,NA
1994-05-16,NA,NA,44.5313,NA,NA,NA,NA,NA,NA,NA
1994-05-17,NA,NA,45.1875,NA,NA,NA,NA,NA,NA,NA
1994-05-18,NA,NA,45.5156,NA,NA,NA,NA,NA,NA,NA
1994-05-19,NA,NA,45.7344,NA,NA,NA,NA,NA,NA,NA
1994-05-20,NA,NA,45.5625,NA,NA,NA,NA,NA,NA,NA
1994-05-23,NA,NA,45.4844,NA,NA,NA,NA,NA,NA,NA
1994-05-24,NA,NA,45.6719,NA,NA,NA,NA,NA,NA,NA
1994-05-25,NA,NA,45.7969,NA,NA,NA,NA,NA,NA,NA
1994-05-26,NA,NA,45.8281,NA,NA,NA,NA,NA,NA,NA
1994-05-27,NA,NA,45.875,NA,NA,NA,NA,NA,NA,NA
1994-05-31,NA,NA,45.8125,NA,NA,NA,NA,NA,NA,NA
1994-06-01,NA,NA,46.0156,NA,NA,NA,NA,NA,NA,NA
1994-06-02,NA,NA,45.9688,NA,NA,NA,NA,NA,NA,NA
1994-06-03,NA,NA,46.2344,NA,NA,NA,NA,NA,NA,NA
1994-06-06,NA,NA,46.2188,NA,NA,NA,NA,NA,NA,NA
1994-06-07,NA,NA,46.1563,NA,NA,NA,NA,NA,NA,NA
1994-06-08,NA,NA,45.7813,NA,NA,NA,NA,NA,NA,NA
1994-06-09,NA,NA,46.0313,NA,NA,NA,NA,NA,NA,NA
1994-06-10,NA,NA,46.1094,NA,NA,NA,NA,NA,NA,NA
1994-06-13,NA,NA,46.1719,NA,NA,NA,NA,NA,NA,NA
1994-06-14,NA,NA,46.5313,NA,NA,NA,NA,NA,NA,NA
1994-06-15,NA,NA,46.3438,NA,NA,NA,NA,NA,NA,NA
1994-06-16,NA,NA,46.4375,NA,NA,NA,NA,NA,NA,NA
1994-06-17,NA,NA,45.875,NA,NA,NA,NA,NA,NA,NA
1994-06-20,NA,NA,45.4844,NA,NA,NA,NA,NA,NA,NA
1994-06-21,NA,NA,45.0938,NA,NA,NA,NA,NA,NA,NA
1994-06-22,NA,NA,45.2656,NA,NA,NA,NA,NA,NA,NA
1994-06-23,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
1994-06-24,NA,NA,44.0625,NA,NA,NA,NA,NA,NA,NA
