variable,F1,F2,F3,F4,F5,F6,F7
CUSR0000SAC,0.011169919181322707,0.376005387537267,0.4131953399884005,0.009226331309328817,0.0021373152898395142,0.0044715411886872,0.023049768814083826
CUSR0000SAD,0.007104228056585171,0.01734107415702746,0.009976296077608526,4.652612974546111e-4,0.0020408189526746057,0.005322472436281811,2.1558689481060433e-5
CUSR0000SAS,0.010349773489552017,0.014453318470796894,0.015540447324157602,0.002366468134216815,1.3655006320567598e-4,5.56979882945452e-4,8.05233081538903e-4
CPIULFSL,0.02267934034702679,0.3073565652579898,0.3220947524724487,0.006689080279636772,4.480919002470829e-4,0.0032692264072656796,0.012432632256899057
CUSR0000SA0L2,0.016010175007225125,0.3685593415058215,0.3990245187320717,0.0109130566051574,0.0014686813722561975,0.003141225506138823,0.024900642067680168
CUSR0000SA0L5,0.020646180360800792,0.3296442955759671,0.37464038785808107,0.010356332914642552,0.0011490517713252935,0.006629866846768584,0.025239174093651173
PCEPI,0.01244161078766337,0.32533781350248725,0.35860143608431705,0.005090046195660114,0.002460101989468222,0.0016173584399480356,0.00591584858992289
DDURRG3M086SBEA,0.005855511947777892,0.01982122478987225,0.01373791236098676,4.152029592496831e-5,1.3708327679740062e-4,0.0014581343401809388,0.0020130566204235034
DNDGRG3M086SBEA,0.004854505251046248,0.34681118420671875,0.41446118595643533,0.010054186371262652,0.003926840072911109,0.006700152220600941,0.023352255163938462
DSERRG3M086SBEA,0.004777988630918828,0.02825909441390706,0.019861269428475326,4.5316717518328886e-4,8.851403136378444e-5,0.0010459988211120042,0.004873724624982367
CES0600000008,0.0027781063956966445,0.0013352863529898507,8.768973169019922e-4,8.888019180173234e-4,2.4756248340640497e-5,5.71888092437689e-10,0.005916652939123024
CES2000000008,0.001177950346728851,0.0010498087702448533,6.365358631060802e-4,2.2659499083421686e-5,1.445065963165959e-4,8.759786685907933e-5,3.828170890710636e-4
CES3000000008,0.0024030228229270367,3.472131407622481e-5,0.0027447177667552225,9.427268869369732e-4,4.480868905021307e-5,1.1426374612288903e-4,0.012860484644667824
UMCSENTx,0.02118600303704432,0.009500016408458989,0.0019227735881385266,0.0019252320612382912,0.001129803649559391,0.020237601841358255,0.12482365728213618
DTCOLNVHFNM,5.385534760731225e-4,3.2746146591811076e-4,2.0273202378784383e-4,0.0011845083020030067,7.602288154701098e-4,0.004764749930954548,0.0032286962723274693
DTCTHFNM,0.002121143080787591,2.618399346072664e-4,6.9591397198198734e-6,0.0017185482866091117,7.434351271939921e-5,8.216610445506145e-4,7.644165469845587e-4
INVEST,0.0028541637424335242,0.005321725899440133,1.3297390917599294e-5,4.0913992948832245e-4,0.0012220804485281178,7.434935297286893e-4,0.004930903327694858
