date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2024-01-10,0.24048027,0.29351705,0.31475334,0.00000000,0.15124934,-0.00009884,0.02816143,6,2,1.00000000,5,0.00000003
2024-01-11,0.24048027,0.29351708,0.31475332,0.00000000,0.15124932,0.00213332,0.03029475,6,2,0.99989533,5,0.00000004
2024-01-12,0.24048027,0.29351710,0.31475331,0.00000000,0.15124932,0.00420778,0.03450253,6,2,1.00000000,5,0.00000002
2024-01-16,0.24047968,0.29351467,0.31475217,0.00000669,0.15124679,-0.00497198,0.02953055,6,2,0.99999698,5,0.00000669
2024-01-17,0.35598391,0.29351396,0.19925460,0.00000170,0.15124584,-0.00505792,0.02447263,6,1,0.99914738,5,0.11550423
2024-01-18,0.35597940,0.29351046,0.19924734,0.03746894,0.11379385,0.00484158,0.02931421,6,3,0.99999832,5,0.03746725
2024-01-19,0.34477923,0.29351049,0.21044765,0.03746874,0.11379389,0.00458381,0.03389801,6,2,1.00000000,5,0.01120037
2024-01-22,0.37138248,0.26571089,0.21044707,0.03866597,0.11379359,0.00135480,0.03525281,6,3,0.99833361,5,0.02780048
2024-01-23,0.38193401,0.25514698,0.21045148,0.03867035,0.11379716,0.00155970,0.03681251,6,3,0.99999963,5,0.01056390
2024-01-24,0.37004694,0.25514701,0.22233864,0.03867022,0.11379719,-0.00210983,0.03470268,6,2,0.99999999,5,0.01188720
2024-01-25,0.38919224,0.25514857,0.22234225,0.04095025,0.09236670,0.00526077,0.03996345,6,3,0.99997074,5,0.02143049
2024-01-26,0.38839341,0.25515937,0.22313704,0.04093717,0.09237300,-0.00037450,0.03958895,6,2,0.99999960,5,0.00081190
2024-01-29,0.38839074,0.25516515,0.22313494,0.04093728,0.09237190,0.00542817,0.04501711,6,2,0.99999972,5,0.00000588
2024-01-30,0.38826120,0.25516314,0.22327685,0.04093073,0.09236808,0.00078474,0.04580186,6,2,1.00000000,5,0.00014191
