date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2022-06-01,0.19013422,0.64764844,0.13273290,0.02045432,0.00903011,-0.00616016,0.59932243,3,3,0.99999985,5,0.00001412
2022-06-02,0.19013976,0.64765452,0.13273655,0.02043355,0.00903562,0.00606805,0.60539048,3,3,0.99999995,5,0.00002077
2022-06-03,0.19014578,0.64766112,0.13274052,0.02041098,0.00904160,-0.00590379,0.59948668,3,3,0.99999940,5,0.00002256
2022-06-06,0.19013276,0.64763874,0.13272875,0.02949975,0.00000000,-0.00481187,0.59467481,5,2,1.00000000,5,0.00908877
2022-06-07,0.19012413,0.64762389,0.13272093,0.02953106,0.00000000,0.00686649,0.60154130,5,2,1.00000000,5,0.00003130
2022-06-08,0.19011414,0.64760671,0.13271190,0.02956725,0.00000000,-0.00465298,0.59688832,5,2,1.00000000,5,0.00003620
2022-06-09,0.19011413,0.64760669,0.13222158,0.03005754,0.00000006,-0.00581883,0.59106949,5,2,1.00000000,5,0.00049035
2022-06-10,0.19009907,0.64758081,0.13220797,0.03011216,0.00000000,-0.01042502,0.58064446,5,2,1.00000000,5,0.00005462
2022-06-13,0.19008668,0.64756476,0.13219629,0.03015227,0.00000000,-0.02275989,0.55788457,4,2,0.97485282,5,0.00004011
2022-06-14,0.19008708,0.64756486,0.13219641,0.02845883,0.00169282,-0.00789421,0.54999036,4,3,0.99985638,5,0.00169344
2022-06-15,0.19009065,0.64756876,0.13219877,0.02844546,0.00169636,0.00905093,0.55904129,4,3,0.93125968,5,0.00001337
2022-06-16,0.19009376,0.64757218,0.13220085,0.02843373,0.00169948,0.00056293,0.55960422,4,3,0.82481060,5,0.00001173
2022-06-17,0.19008851,0.64756635,0.13219716,0.02845393,0.00169406,0.00145906,0.56106328,4,2,0.60656173,5,0.00002020
2022-06-20,0.19008985,0.64756664,0.13219755,0.02641700,0.00372896,-0.00170220,0.55936108,4,3,0.99907426,5,0.00203692
2022-06-21,0.19011298,0.64759026,0.13221916,0.02632552,0.00375208,0.00209869,0.56145977,4,3,0.93330092,5,0.00009149
2022-06-22,0.19013414,0.64761185,0.13223891,0.02624189,0.00377321,0.00771004,0.56916981,4,3,0.99486087,5,0.00008363
2022-06-23,0.19013455,0.64761194,0.13223903,0.02573138,0.00428310,0.00527843,0.57444824,4,3,0.99137384,5,0.00051051
2022-06-24,0.19015165,0.64761657,0.13224614,0.02548637,0.00449927,0.00378772,0.57823596,4,3,0.98736987,5,0.00024501
2022-06-27,0.19015144,0.64761632,0.13174192,0.03049032,0.00000000,-0.00398753,0.57424843,5,2,0.99989827,5,0.00500395
2022-06-28,0.19013866,0.64759980,0.13172984,0.03053170,0.00000000,-0.00412568,0.57012275,5,2,0.99997092,5,0.00004138
2022-06-29,0.19013506,0.64759864,0.12852765,0.03373866,0.00000000,0.00563769,0.57576044,5,2,0.99996737,5,0.00320696
2022-06-30,0.19011207,0.64756893,0.12850597,0.03381303,0.00000000,0.00390717,0.57966760,5,2,0.99999214,5,0.00007437
2022-07-01,0.19009642,0.64754868,0.12849121,0.03386370,0.00000000,0.00607077,0.58573837,5,2,0.99996911,5,0.00005067
2022-07-04,0.19009695,0.64754929,0.12849164,0.03386172,0.00000039,-0.00020669,0.58553168,4,1,0.94020295,5,0.00000197
2022-07-05,0.19009812,0.64755060,0.12849268,0.03385749,0.00000111,-0.00012587,0.58540582,4,1,0.99875614,5,0.00000423
2022-07-06,0.19010348,0.64755146,0.12849389,0.02871641,0.00513476,-0.00720438,0.57820144,4,3,0.89876569,5,0.00514108
2022-07-07,0.19012439,0.64757282,0.12851345,0.02863365,0.00515568,-0.00105933,0.57714210,4,3,0.77761969,5,0.00008276
