"date","copper"
1988-05-03,2203.93
1988-05-04,2194.37
1988-05-05,2243.26
1988-05-06,2197.34
1988-05-09,2305.17
1988-05-10,2629.4
1988-05-11,2546.08
1988-05-12,2552.93
1988-05-13,2667.72
1988-05-16,2595.4
1988-05-17,2782.47
1988-05-18,2662.3
1988-05-19,2425.8
1988-05-20,2492.43
1988-05-23,2454.17
1988-05-24,2382.38
1988-05-25,2380.88
1988-05-26,2370.91
1988-05-27,2376.96
1988-05-30,NA
1988-05-31,2400.01
1988-06-01,2468.78
1988-06-02,2508.1
1988-06-03,2725.15
1988-06-06,2721.02
1988-06-07,2667.09
1988-06-08,2694.85
1988-06-09,2747.76
1988-06-10,2849.18
1988-06-13,2755.32
1988-06-14,2535.68
1988-06-15,2457.95
1988-06-16,2587.79
1988-06-17,2432.9
1988-06-20,2416.67
1988-06-21,2438.78
1988-06-22,2535.73
1988-06-23,2508.77
1988-06-24,2452.77
1988-06-27,2387.91
1988-06-28,2372.03
1988-06-29,2355.04
1988-06-30,2338.33
1988-07-01,2311.93
1988-07-04,2329.21
1988-07-05,2416.83
1988-07-06,2297.54
1988-07-07,2287.12
1988-07-08,2289.13
1988-07-11,2200.51
1988-07-12,2132.82
1988-07-13,2166.32
1988-07-14,2172.5
1988-07-15,2179.13
1988-07-18,2116.24
1988-07-19,2153.07
1988-07-20,2212.31
1988-07-21,2226.15
1988-07-22,2196.11
1988-07-25,2181.83
1988-07-26,2164.73
1988-07-27,2159.56
1988-07-28,2121.95
1988-07-29,2132.6
1988-08-01,2120.68
1988-08-02,2088.08
1988-08-03,2103.67
1988-08-04,2143.65
1988-08-05,2135.71
1988-08-08,NA
1988-08-09,2071.25
1988-08-10,2086
1988-08-11,2113.16
1988-08-12,2167.35
1988-08-15,2160.95
1988-08-16,2187.98
1988-08-17,NA
1988-08-18,2191.3
1988-08-19,2225.62
1988-08-22,2199.04
1988-08-23,2305.17
1988-08-24,2308.85
1988-08-25,2354.43
1988-08-26,2401.58
1988-08-29,NA
1988-08-30,2384.03
1988-08-31,2353.68
1988-09-01,2359.56
1988-09-02,2374.56
1988-09-05,2320.67
1988-09-06,2347.91
1988-09-07,2366
1988-09-08,2351.5
1988-09-09,2372.68
1988-09-12,2404.36
1988-09-13,2445.25
1988-09-14,2466.23
1988-09-15,2452.61
1988-09-16,2473.23
1988-09-19,2441.82
1988-09-20,2466.22
1988-09-21,2434.61
1988-09-22,2419.83
1988-09-23,2462.51
1988-09-26,2491.84
1988-09-27,2487.64
1988-09-28,2511.69
1988-09-29,2505.34
1988-09-30,2560.27
1988-10-03,2658.48
1988-10-04,2614.23
1988-10-05,2625.14
1988-10-06,2645.18
1988-10-07,2685.9
1988-10-10,2748.62
1988-10-11,2748.06
1988-10-12,2804.38
1988-10-13,2830.36
1988-10-14,2828.97
1988-10-17,2950.26
1988-10-18,2913.7
1988-10-19,3018.7
1988-10-20,3093.18
1988-10-21,3196.98
1988-10-24,3253.96
1988-10-25,3143.9
1988-10-26,3270.71
1988-10-27,3118.72
1988-10-28,3240.17
1988-10-31,3303.44
1988-11-01,3215.89
1988-11-02,3361.42
1988-11-03,3361.53
1988-11-04,3323.01
1988-11-07,3202.04
1988-11-08,3235.39
1988-11-09,3319.83
1988-11-10,3370.76
1988-11-11,3246.22
1988-11-14,3173.28
1988-11-15,3141.47
1988-11-16,3057.09
1988-11-17,3168.44
1988-11-18,3199.85
1988-11-21,3254.3
1988-11-22,3210.7
1988-11-23,3417.58
1988-11-24,3484.41
1988-11-25,3519.14
1988-11-28,3505.13
1988-11-29,3470.01
1988-11-30,3385.56
1988-12-01,3443.34
1988-12-02,3597.64
1988-12-05,3596.48
1988-12-06,3587.49
1988-12-07,3615.93
1988-12-08,3705.56
1988-12-09,3679.85
1988-12-12,3569.84
1988-12-13,3446.43
1988-12-14,3511.4
1988-12-15,3486.83
1988-12-16,3429.29
1988-12-19,3251.91
1988-12-20,3407.14
1988-12-21,3471.13
1988-12-22,3407.63
1988-12-23,3488.67
1988-12-26,NA
1988-12-27,NA
1988-12-28,3471.16
1988-12-29,3438.4
1988-12-30,3393.68
1989-01-02,NA
1989-01-03,3520.32
1989-01-04,3537.72
1989-01-05,3539.53
1989-01-06,3391.47
1989-01-09,NA
1989-01-10,3289.27
1989-01-11,3300.9
1989-01-12,3305.98
1989-01-13,3305.34
1989-01-16,3366.65
1989-01-17,3478.05
1989-01-18,3400.98
1989-01-19,3396.65
1989-01-20,3422.13
1989-01-23,3401.4
1989-01-24,3470.03
1989-01-25,3404.6
1989-01-26,3333.13
1989-01-27,3379.17
1989-01-30,3360.78
1989-01-31,3298.24
1989-02-01,3303.13
1989-02-02,3242.43
1989-02-03,3170.32
1989-02-06,3105.45
1989-02-07,2998.94
1989-02-08,3104.24
1989-02-09,3094.07
1989-02-10,3069.34
1989-02-13,2878.51
1989-02-14,2958.43
1989-02-15,2889.48
1989-02-16,2967.74
1989-02-17,2984.57
1989-02-20,2998.36
1989-02-21,3035.61
1989-02-22,3211.95
1989-02-23,3197.94
1989-02-24,3169.45
1989-02-27,3326.7
1989-02-28,3186.33
1989-03-01,3124.66
1989-03-02,3335.32
1989-03-03,3334.53
1989-03-06,3346.71
1989-03-07,3356.18
1989-03-08,3454.05
1989-03-09,3333.67
1989-03-10,3381.71
1989-03-13,3325.94
1989-03-14,3193.92
1989-03-15,3313.44
1989-03-16,3192.94
1989-03-17,3265.53
1989-03-20,3162.26
1989-03-21,3167.69
1989-03-22,3279.84
1989-03-23,3290.05
1989-03-24,NA
1989-03-27,NA
1989-03-28,3263.78
1989-03-29,3204.56
1989-03-30,3140.44
1989-03-31,3119.26
1989-04-03,3092.59
1989-04-04,3033.97
1989-04-05,3095.94
1989-04-06,3080.57
1989-04-07,3101.2
1989-04-10,3084.47
1989-04-11,3180.05
1989-04-12,3185.84
1989-04-13,3191.2
1989-04-14,3163.29
1989-04-17,3212.28
1989-04-18,3137
1989-04-19,3128.45
1989-04-20,3068.6
1989-04-21,3103.86
1989-04-24,3159.73
1989-04-25,3085.67
1989-04-26,3044.55
1989-04-27,3097.14
1989-04-28,3058.34
1989-05-01,NA
1989-05-02,2977.54
1989-05-03,2952.44
1989-05-04,2934.46
1989-05-05,2973.64
1989-05-08,2804.79
1989-05-09,2795.44
1989-05-10,2836.47
1989-05-11,2814.26
1989-05-12,2865.38
1989-05-15,2770.68
1989-05-16,2695.99
1989-05-17,2648.75
1989-05-18,2738.15
1989-05-19,2651.44
1989-05-22,2640.59
1989-05-23,2546.17
1989-05-24,2531.71
1989-05-25,2545.95
1989-05-26,2555.88
1989-05-29,NA
1989-05-30,2621.93
1989-05-31,2593.99
1989-06-01,2590.55
1989-06-02,2477.34
1989-06-05,2501.92
1989-06-06,2424.93
1989-06-07,2471.95
1989-06-08,2496.36
1989-06-09,2564.1
1989-06-12,2508.32
1989-06-13,2506.22
1989-06-14,2575.41
1989-06-15,2561.25
1989-06-16,2636.04
1989-06-19,2658.83
1989-06-20,2672.43
1989-06-21,2566.02
1989-06-22,2556.39
1989-06-23,2546.06
1989-06-26,2527.81
1989-06-27,2515.74
1989-06-28,2519.03
1989-06-29,2557.85
1989-06-30,2520.34
1989-07-03,2416.16
1989-07-04,2446.31
1989-07-05,2449.42
1989-07-06,2395.03
1989-07-07,2388.09
1989-07-10,2462.73
1989-07-11,2409.48
1989-07-12,2469.04
1989-07-13,2518.67
1989-07-14,2482.05
1989-07-17,2457.67
1989-07-18,2524.05
1989-07-19,2530.35
1989-07-20,2530.47
1989-07-21,2502.19
1989-07-24,2542.46
1989-07-25,2585.28
1989-07-26,2631.95
1989-07-27,2616.52
1989-07-28,2582.25
1989-07-31,2537.94
1989-08-01,2588.37
1989-08-02,2617.52
1989-08-03,2610.7
1989-08-04,2580.01
1989-08-07,2576.02
1989-08-08,2554.67
1989-08-09,2580.74
1989-08-10,2616.59
1989-08-11,2605.68
1989-08-14,2692.24
1989-08-15,2731.68
1989-08-16,2762.97
1989-08-17,2774.46
1989-08-18,2820.48
1989-08-21,2839.61
1989-08-22,2859.53
1989-08-23,2876.74
1989-08-24,2973.38
1989-08-25,3097.81
1989-08-28,NA
1989-08-29,3021.08
1989-08-30,2994.32
1989-08-31,2926.92
1989-09-01,3019.46
1989-09-04,2964.61
1989-09-05,2928.08
1989-09-06,2904.82
1989-09-07,2853.78
1989-09-08,2925.81
1989-09-11,2818.34
1989-09-12,2903.63
1989-09-13,2884.07
1989-09-14,2917.35
1989-09-15,2893.06
1989-09-18,2911.9
1989-09-19,2961.79
1989-09-20,2896.18
1989-09-21,2862.73
1989-09-22,2854.49
1989-09-25,2807.5
1989-09-26,2738.47
1989-09-27,2785.28
1989-09-28,2801.07
1989-09-29,2827.21
1989-10-02,2936.57
1989-10-03,2869.83
1989-10-04,2856.81
1989-10-05,2901.6
1989-10-06,2864.25
1989-10-09,2887.61
1989-10-10,2925.76
1989-10-11,2854.7
1989-10-12,2918.53
1989-10-13,2990.19
