,turnover
2008-04-21,0.0007286829912144265
2008-04-22,0.0008812566613689886
2008-04-23,0.0011124125749402978
2008-04-24,0.001199774429302343
2008-04-25,0.0010950817998412452
2008-04-28,0.0011083181367810007
2008-04-29,0.0010280409864654562
2008-04-30,0.0008920507365536501
2008-05-01,0.002419327078430777
2008-05-02,0.0021377974277612564
2008-05-05,0.0023279959712871334
2008-05-06,0.00242435937160882
2008-05-07,0.0026199644259186795
2008-05-08,0.0025661540991336104
2008-05-09,0.00246149619992235
2008-05-12,0.0025524083242698167
2008-05-13,0.0025033549126788606
2008-05-14,0.0024324646520718553
2008-05-15,0.002341383613871613
2008-05-16,0.002519658263254381
2008-05-19,0.00243292294947762
2008-05-20,0.0024248890938417017
2008-05-21,0.0024121603063651654
2008-05-22,0.00250043650535933
2008-05-23,0.0025724371837563004
2008-05-26,0.002521914496477792
2008-05-27,0.00242684581399578
2008-05-28,0.0022457500966596242
2008-05-29,0.0021588808505508513
2008-05-30,0.002192412625764012
2008-06-02,0.002008538337377671
2008-06-03,0.0019720610751940634
2008-06-04,0.0017868424396061747
2008-06-05,0.0014868426081714597
2008-06-06,0.001570051696972996
2008-06-09,0.0017027375136952003
2008-06-10,0.0017894566900899037
2008-06-11,0.001985909069796718
2008-06-12,0.0017843838952546279
2008-06-13,0.001667718214197561
2008-06-16,0.0016721490267399206
2008-06-17,0.001509520779645765
2008-06-18,0.0013048315800431361
2008-06-19,0.001102317739097631
2008-06-20,0.0011386605042982578
2008-06-23,0.0011823279463313485
2008-06-24,0.0012852705937050118
2008-06-25,0.0012298152534960787
2008-06-26,0.0009882761922513784
2008-06-27,0.0009273782349490222
2008-06-30,0.0009410509033354623
2008-07-01,0.0008832466673026078
2008-07-02,0.0008252665832480977
2008-07-03,0.0007981158601049248
2008-07-04,0.0009539990511381034
2008-07-07,0.0009616879163790951
2008-07-08,0.000708980536576019
2008-07-09,0.0004246376817086983
2008-07-10,0.0003613494022830252
2008-07-11,0.000287763924373053
2008-07-14,0.0004434802493427245
2008-07-15,0.0003298928502954878
2008-07-16,5.49841479432543e-05
2008-07-17,0.008607030696541763
2008-07-18,0.011378729990153075
2008-07-21,0.010847744540754913
2008-07-22,0.00988392301725629
2008-07-23,0.009869977415333447
2008-07-24,0.009463959239402128
2008-07-25,0.00850884468213962
2008-07-28,0.007666489198092725
2008-07-29,1.7315519703093446e-05
2008-07-30,8.529607259420008e-06
2008-07-31,1.417719465735337e-05
2008-08-01,1.1160680978138104e-05
2008-08-04,8.45963657098922e-06
