,macro_stress
2010-08-19,0.2651750937123467
2010-08-20,0.269386109873984
2010-08-23,0.266763196183241
2010-08-24,0.2664334657038564
2010-08-25,0.2811590094337551
2010-08-26,0.27725461698491016
2010-08-27,0.279972669110065
2010-08-30,0.31272030027898673
2010-08-31,0.28857371312801183
2010-09-01,0.3028469876142735
2010-09-02,0.5027013494035846
2010-09-03,0.4062990719712135
2010-09-06,0.2877617338578444
2010-09-07,0.27173070621941237
2010-09-08,0.27509551749712713
2010-09-09,0.2715459714776348
2010-09-10,0.2808143931506055
2010-09-13,0.2776139584769692
2010-09-14,0.2913643424396431
2010-09-15,0.27676890976369006
2010-09-16,0.28016980311958917
2010-09-17,0.2908792827468083
2010-09-20,0.2881245750099669
2010-09-21,0.32913120311372795
2010-09-22,0.4009798568397184
2010-09-23,0.4387678898832942
2010-09-24,0.47312292408742107
2010-09-27,0.5614339224493063
2010-09-28,0.6229382599167385
2010-09-29,0.6311450012326753
2010-09-30,0.6302135734899477
2010-10-01,0.6344011633876449
2010-10-04,0.6305733573091056
2010-10-05,0.6194322461177478
2010-10-06,0.6357520018692373
2010-10-07,0.6332067023522829
2010-10-08,0.641952356042365
2010-10-11,0.626390139322707
2010-10-12,0.6067174011539249
2010-10-13,0.6008078689792085
2010-10-14,0.6097104157645404
2010-10-15,0.6030571743719034
2010-10-18,0.6254763508839469
2010-10-19,0.6211422558775586
2010-10-20,0.6361081895888232
2010-10-21,0.6299673087842125
2010-10-22,0.629774347874942
2010-10-25,0.610172738642127
2010-10-26,0.5880724906278478
2010-10-27,0.574706508835219
2010-10-28,0.56887851356455
2010-10-29,0.5544402566758321
2010-11-01,0.5823383438533233
2010-11-02,0.585388597356005
2010-11-03,0.5664249522137675
2010-11-04,0.5392843848920206
2010-11-05,0.6272251801825857
2010-11-08,0.5938905231005782
2010-11-09,0.5945625188807986
2010-11-10,0.6005963190923577
2010-11-11,0.5893385904023629
2010-11-12,0.5782007741765011
2010-11-15,0.6372735548119297
2010-11-16,0.5980319902650967
2010-11-17,0.638663353038622
2010-11-18,0.6347867442220616
2010-11-19,0.6214337457893848
